Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,20.9299217926,
UNKNOWN,,09/01/2017,,,,,,,,,,F-Sweatshirts,,,,,,,20.9299217926,
UNKNOWN,,09/01/2017,,,,,,,,,,F-Sweatshirts,,,,,,,41.8598435851,
UNKNOWN,,09/01/2017,,,,,,,,,,F-Sweatshirts,,,,,,,34.8832029876,
CHINA - SHANGHAI,,09/01/2017,,09/30/2017,,,,,,,,D-Jackets,,,,,,,15.3486093145,
CHINA - SHANGHAI,,09/01/2017,,09/30/2017,,,,,,,,D-Jackets,,,,,,,30.6972186291,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,D-Jackets,,,,,,,30.6972186291,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,45.2086310719,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,15.3486093145,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,16.743937434,
CHINA - SHANGHAI,,09/01/2017,,09/30/2017,,,,,,,,D-Jackets,,,,,,,27.9065623901,
CHINA - SHANGHAI,,09/01/2017,,09/30/2017,,,,,,,,D-Jackets,,,,,,,4.1859843585,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,16.743937434,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,6.3487429437,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,10.4649608963,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,20.9299217926,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,18.1392655535,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,7.6045382513,
UNKNOWN,,07/01/2017,,,,,,,,,,D-Jackets,,,,,,,6.9766405975,
CHINA - SHANGHAI,,10/20/2017,,11/18/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
CHINA - SHANGHAI,,10/20/2017,,11/18/2017,,,,,,,,M-Tops,,,,,,,18.1392655535,
CHINA - SHANGHAI,,10/20/2017,,11/18/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
CHINA - SHANGHAI,,10/20/2017,,11/18/2017,,,,,,,,M-Tops,,,,,,,18.1392655535,
PAKISTAN - KARACHI,,04/01/2017,,04/30/2017,,,,,,,,C-Trousers,,,,,,,11.162624956,
BANGLADESH - CHITTAGONG,,09/20/2017,,10/17/2017,,,,,,,,M-Tops,,,,,,,8.371968717,
BANGLADESH - CHITTAGONG,,09/20/2017,,10/17/2017,,,,,,,,M-Tops,,,,,,,8.371968717,
CHINA - SHANGHAI,,09/20/2017,,10/19/2017,,,,,,,,M-Tops,,,,,,,1.0464960896,
CHINA - SHANGHAI,,09/20/2017,,10/19/2017,,,,,,,,M-Tops,,,,,,,1.7441601494,
CHINA - SHANGHAI,,09/20/2017,,10/19/2017,,,,,,,,M-Tops,,,,,,,1.0464960896,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,20.9299217926,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,8.371968717,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,16.743937434,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,F-Sweatshirts,,,,,,,4.4650499824,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,A-Accessories,,,,,,,4.1859843585,
CHINA - SHANGHAI,,09/29/2017,,10/28/2017,,,,,,,,D-Jackets,,,,,,,4.1859843585,
PAKISTAN - KARACHI,,09/29/2017,,10/28/2017,,,,,,,,C-Trousers,,,,,,,1.3953281195,
PAKISTAN - KARACHI,,09/29/2017,,10/28/2017,,,,,,,,C-Trousers,,,,,,,11.162624956,
CHINA - SHANGHAI,,08/02/2017,,08/31/2017,,,,,,,,M-Tops,,,,,,,1.3255617135,
CHINA - SHANGHAI,,08/02/2017,,08/31/2017,,,,,,,,M-Tops,,,,,,,4.3255171705,
CHINA - SHANGHAI,,08/02/2017,,08/31/2017,,,,,,,,M-Tops,,,,,,,4.5348163884,
CHINA - SHANGHAI,,08/02/2017,,08/31/2017,,,,,,,,M-Tops,,,,,,,2.4418242091,
CHINA - SHANGHAI,,08/02/2017,,08/31/2017,,,,,,,,M-Tops,,,,,,,1.3953281195,
BANGLADESH - CHITTAGONG,,06/11/2018,,07/08/2018,,,,,,,,F-Sweatshirts,,,,,,,41.8598435851,
BANGLADESH - CHITTAGONG,,06/11/2018,,07/08/2018,,,,,,,,M-Tops,,,,,,,29.3018905096,
BANGLADESH - CHITTAGONG,,08/25/2017,,09/21/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,08/25/2017,,09/21/2017,,,,,,,,M-Tops,,,,,,,18.8369296133,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,4.1859843585,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,23.7205780316,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,8.371968717,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,46.0458279436,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,17.4416014938,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,167.4393743404,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,142.3234681894,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,17.4416014938,
