Load_Port,Item_Class,ETD_Yr,ETD_Day,ETD_Mth,ETD_Dte,ETD,ETA_Yr,ETD_Day_1,ETD_Mth_1,ETA_Dsch_Port_Dte,ETA_Dsch_Port,Sum_Shipped_Msr,Load_port_1,ETD_Dte_1,mth_ETD,ETA_Dsch_Port_Dte_1,Item_Class_1,HK_Prev_diff_ETD,HK_Prev_diff_ETA,HK_Prev_ETD,HK_Prev_ETA,HK_Next_diff_ETD,HK_Next_diff_ETA,HK_Next_ETD,HK_Next_ETA,UK_Prev_diff_ETD,UK_Prev_diff_ETA,UK_Prev_ETD,UK_Prev_ETA,UK_Next_diff_ETD,UK_Next_diff_ETA,UK_Next_ETD,UK_Next_ETA,ETD_Dte_2,Load_Port_2,Item_Class_2,prev_ETD_Dte,prev_Shipped_Msr,prev_ETD_Dte_diff,Transport_Days
BANGLADESH - CHITTAGONG,M-Tops,2016,7,30,2016-07-30,07/30/2016,2016,7,30,2016-08-31,08/31/2016,4.5,BANGLADESH - CHITTAGONG,2016-07-30,7,2016-08-31,M-Tops,-29,-61,2016-07-01,2016-07-01,48,16,2016-09-16,2016-09-16,-61,-2,2016-05-30,2016-08-29,30,116,2016-08-29,2016-12-25,2016-07-30,BANGLADESH - CHITTAGONG,M-Tops,2016-07-17,19.92,13,32
BANGLADESH - CHITTAGONG,M-Tops,2016,8,19,2016-08-19,08/19/2016,2016,8,19,2016-09-19,09/19/2016,12.97,BANGLADESH - CHITTAGONG,2016-08-19,8,2016-09-19,M-Tops,-49,-80,2016-07-01,2016-07-01,28,12,2016-09-16,2016-10-01,-81,-21,2016-05-30,2016-08-29,10,97,2016-08-29,2016-12-25,2016-08-19,BANGLADESH - CHITTAGONG,M-Tops,2016-07-30,4.5,20,31
BANGLADESH - CHITTAGONG,M-Tops,2016,8,24,2016-08-24,08/24/2016,2016,8,24,2016-09-19,09/19/2016,3.53,BANGLADESH - CHITTAGONG,2016-08-24,8,2016-09-19,M-Tops,-54,-80,2016-07-01,2016-07-01,23,12,2016-09-16,2016-10-01,-86,-21,2016-05-30,2016-08-29,5,97,2016-08-29,2016-12-25,2016-08-24,BANGLADESH - CHITTAGONG,M-Tops,2016-08-19,12.97,5,26
BANGLADESH - CHITTAGONG,M-Tops,2016,8,29,2016-08-29,08/29/2016,2016,8,29,2016-09-26,09/26/2016,3.62,BANGLADESH - CHITTAGONG,2016-08-29,8,2016-09-26,M-Tops,-59,-87,2016-07-01,2016-07-01,18,5,2016-09-16,2016-10-01,0,-28,2016-08-29,2016-08-29,118,90,2016-12-25,2016-12-25,2016-08-29,BANGLADESH - CHITTAGONG,M-Tops,2016-08-24,3.53,5,28
BANGLADESH - CHITTAGONG,M-Tops,2016,9,18,2016-09-18,09/18/2016,2016,9,18,2016-10-18,10/18/2016,5.96,BANGLADESH - CHITTAGONG,2016-09-18,9,2016-10-18,M-Tops,-2,-32,2016-09-16,2016-09-16,13,68,2016-10-01,2016-12-25,-20,-50,2016-08-29,2016-08-29,98,68,2016-12-25,2016-12-25,2016-09-18,BANGLADESH - CHITTAGONG,M-Tops,2016-08-29,3.62,20,30
BANGLADESH - CHITTAGONG,M-Tops,2016,10,23,2016-10-23,10/23/2016,2016,10,23,2016-11-18,11/18/2016,13.206,BANGLADESH - CHITTAGONG,2016-10-23,10,2016-11-18,M-Tops,-13,-39,2016-10-10,2016-10-10,63,37,2016-12-25,2016-12-25,-55,-81,2016-08-29,2016-08-29,63,37,2016-12-25,2016-12-25,2016-10-23,BANGLADESH - CHITTAGONG,M-Tops,2016-09-18,5.96,35,26
BANGLADESH - CHITTAGONG,M-Tops,2016,12,19,2016-12-19,12/19/2016,2017,12,19,2017-01-12,01/12/2017,11.43,BANGLADESH - CHITTAGONG,2016-12-19,12,2017-01-12,M-Tops,-70,-94,2016-10-10,2016-10-10,6,16,2016-12-25,2017-01-28,-112,-10,2016-08-29,2017-01-02,6,92,2016-12-25,2017-04-14,2016-12-19,BANGLADESH - CHITTAGONG,M-Tops,2016-10-23,13.206,57,24
BANGLADESH - CHITTAGONG,M-Tops,2016,12,24,2016-12-24,12/24/2016,2017,12,24,2017-01-19,01/19/2017,45.85,BANGLADESH - CHITTAGONG,2016-12-24,12,2017-01-19,M-Tops,-75,-101,2016-10-10,2016-10-10,1,9,2016-12-25,2017-01-28,-117,-17,2016-08-29,2017-01-02,1,85,2016-12-25,2017-04-14,2016-12-24,BANGLADESH - CHITTAGONG,M-Tops,2016-12-19,11.43,5,26
BANGLADESH - CHITTAGONG,M-Tops,2016,12,27,2016-12-27,12/27/2016,2017,12,27,2017-01-23,01/23/2017,44.63,BANGLADESH - CHITTAGONG,2016-12-27,12,2017-01-23,M-Tops,0,-27,2016-12-27,2016-12-27,5,5,2017-01-01,2017-01-28,0,-21,2016-12-27,2017-01-02,5,81,2017-01-01,2017-04-14,2016-12-27,BANGLADESH - CHITTAGONG,M-Tops,2016-12-24,45.85,3,27
BANGLADESH - CHITTAGONG,S-Shorts,2017,1,3,2017-01-03,01/03/2017,2017,1,3,2017-01-30,01/30/2017,37.78,BANGLADESH - CHITTAGONG,2017-01-03,1,2017-01-30,S-Shorts,-1,-28,2017-01-02,2017-01-02,25,1,2017-01-28,2017-01-31,-1,-28,2017-01-02,2017-01-02,101,74,2017-04-14,2017-04-14,2017-01-03,BANGLADESH - CHITTAGONG,S-Shorts,2016-12-27,95.86,7,27
BANGLADESH - CHITTAGONG,S-Shorts,2017,1,26,2017-01-26,01/26/2017,2017,1,26,2017-03-05,03/05/2017,9.18,BANGLADESH - CHITTAGONG,2017-01-26,1,2017-03-05,S-Shorts,-24,-62,2017-01-02,2017-01-02,2,30,2017-01-28,2017-04-04,-24,-62,2017-01-02,2017-01-02,78,40,2017-04-14,2017-04-14,2017-01-26,BANGLADESH - CHITTAGONG,S-Shorts,2017-01-03,37.78,23,38
BANGLADESH - CHITTAGONG,S-Shorts,2017,2,11,2017-02-11,02/11/2017,2017,2,11,2017-03-10,03/10/2017,11.84,BANGLADESH - CHITTAGONG,2017-02-11,2,2017-03-10,S-Shorts,-11,-38,2017-01-31,2017-01-31,52,25,2017-04-04,2017-04-04,-40,-67,2017-01-02,2017-01-02,62,35,2017-04-14,2017-04-14,2017-02-11,BANGLADESH - CHITTAGONG,S-Shorts,2017-01-26,9.18,16,27
BANGLADESH - CHITTAGONG,S-Shorts,2017,2,26,2017-02-26,02/26/2017,2017,2,26,2017-03-28,03/28/2017,10.71,BANGLADESH - CHITTAGONG,2017-02-26,2,2017-03-28,S-Shorts,-26,-56,2017-01-31,2017-01-31,37,7,2017-04-04,2017-04-04,-55,-85,2017-01-02,2017-01-02,47,17,2017-04-14,2017-04-14,2017-02-26,BANGLADESH - CHITTAGONG,S-Shorts,2017-02-11,11.84,15,30
BANGLADESH - CHITTAGONG,S-Shorts,2017,3,3,2017-03-03,03/03/2017,2017,3,3,2017-04-04,04/04/2017,16.15,BANGLADESH - CHITTAGONG,2017-03-03,3,2017-04-04,S-Shorts,-31,-63,2017-01-31,2017-01-31,32,10,2017-04-04,2017-04-14,-60,-92,2017-01-02,2017-01-02,42,10,2017-04-14,2017-04-14,2017-03-03,BANGLADESH - CHITTAGONG,S-Shorts,2017-02-26,10.71,5,32
BANGLADESH - CHITTAGONG,S-Shorts,2016,3,13,2016-03-13,03/13/2016,2016,3,13,2016-04-08,04/08/2016,29.31,BANGLADESH - CHITTAGONG,2016-03-13,3,2016-04-08,S-Shorts,-32,-58,2016-02-10,2016-02-10,12,23,2016-03-25,2016-05-01,-72,-11,2016-01-01,2016-03-28,12,24,2016-03-25,2016-05-02,,,,,,,26
BANGLADESH - CHITTAGONG,S-Shorts,2017,3,14,2017-03-14,03/14/2017,2017,3,14,2017-04-07,04/07/2017,7.82,BANGLADESH - CHITTAGONG,2017-03-14,3,2017-04-07,S-Shorts,-42,-66,2017-01-31,2017-01-31,21,7,2017-04-04,2017-04-14,-71,-95,2017-01-02,2017-01-02,31,7,2017-04-14,2017-04-14,2017-03-14,BANGLADESH - CHITTAGONG,S-Shorts,2017-03-03,16.15,11,24
BANGLADESH - CHITTAGONG,S-Shorts,2016,3,26,2016-03-26,03/26/2016,2016,3,26,2016-04-21,04/21/2016,18.82,BANGLADESH - CHITTAGONG,2016-03-26,3,2016-04-21,S-Shorts,0,-26,2016-03-26,2016-03-26,2,10,2016-03-28,2016-05-01,-1,-24,2016-03-25,2016-03-28,1,11,2016-03-27,2016-05-02,2016-03-26,BANGLADESH - CHITTAGONG,S-Shorts,2016-03-13,29.31,13,26
BANGLADESH - CHITTAGONG,S-Shorts,2016,3,28,2016-03-28,03/28/2016,2016,3,28,2016-04-21,04/21/2016,5.86,BANGLADESH - CHITTAGONG,2016-03-28,3,2016-04-21,S-Shorts,0,-24,2016-03-28,2016-03-28,7,10,2016-04-04,2016-05-01,0,-24,2016-03-28,2016-03-28,35,11,2016-05-02,2016-05-02,2016-03-28,BANGLADESH - CHITTAGONG,S-Shorts,2016-03-26,18.82,2,24
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,6,2016-04-06,04/06/2016,2016,4,6,2016-05-03,05/03/2016,35.2,BANGLADESH - CHITTAGONG,2016-04-06,4,2016-05-03,S-Shorts,-2,-29,2016-04-04,2016-04-04,25,11,2016-05-01,2016-05-14,-9,-1,2016-03-28,2016-05-02,26,27,2016-05-02,2016-05-30,2016-04-06,BANGLADESH - CHITTAGONG,S-Shorts,2016-03-28,5.86,9,27
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,8,2016-04-08,04/08/2016,2016,4,8,2016-05-11,05/11/2016,47.82,BANGLADESH - CHITTAGONG,2016-04-08,4,2016-05-11,S-Shorts,-4,-37,2016-04-04,2016-04-04,23,3,2016-05-01,2016-05-14,-11,-9,2016-03-28,2016-05-02,24,19,2016-05-02,2016-05-30,2016-04-08,BANGLADESH - CHITTAGONG,S-Shorts,2016-04-06,35.2,2,33
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,20,2016-04-20,04/20/2016,2016,4,20,2016-05-20,05/20/2016,12.72,BANGLADESH - CHITTAGONG,2016-04-20,4,2016-05-20,S-Shorts,-16,-46,2016-04-04,2016-04-04,11,20,2016-05-01,2016-06-09,-23,-18,2016-03-28,2016-05-02,12,10,2016-05-02,2016-05-30,2016-04-20,BANGLADESH - CHITTAGONG,S-Shorts,2016-04-08,47.82,12,30
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,27,2016-04-27,04/27/2016,2016,4,27,2016-05-26,05/26/2016,29.42,BANGLADESH - CHITTAGONG,2016-04-27,4,2016-05-26,S-Shorts,-23,-52,2016-04-04,2016-04-04,4,14,2016-05-01,2016-06-09,-30,-24,2016-03-28,2016-05-02,5,4,2016-05-02,2016-05-30,2016-04-27,BANGLADESH - CHITTAGONG,S-Shorts,2016-04-20,12.72,7,29
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,6,2016-05-06,05/06/2016,2016,5,6,2016-06-02,06/02/2016,32.1,BANGLADESH - CHITTAGONG,2016-05-06,5,2016-06-02,S-Shorts,-4,-31,2016-05-02,2016-05-02,8,7,2016-05-14,2016-06-09,-4,-3,2016-05-02,2016-05-30,24,88,2016-05-30,2016-08-29,2016-05-06,BANGLADESH - CHITTAGONG,S-Shorts,2016-04-27,29.42,9,27
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,11,2016-05-11,05/11/2016,2016,5,11,2016-06-08,06/08/2016,26.34,BANGLADESH - CHITTAGONG,2016-05-11,5,2016-06-08,S-Shorts,-9,-37,2016-05-02,2016-05-02,3,1,2016-05-14,2016-06-09,-9,-9,2016-05-02,2016-05-30,19,82,2016-05-30,2016-08-29,2016-05-11,BANGLADESH - CHITTAGONG,S-Shorts,2016-05-06,32.1,5,28
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,25,2016-05-25,05/25/2016,2016,5,25,2016-06-14,06/14/2016,16.08,BANGLADESH - CHITTAGONG,2016-05-25,5,2016-06-14,S-Shorts,-11,-31,2016-05-14,2016-05-14,15,17,2016-06-09,2016-07-01,-23,-15,2016-05-02,2016-05-30,5,76,2016-05-30,2016-08-29,2016-05-25,BANGLADESH - CHITTAGONG,S-Shorts,2016-05-11,26.34,14,20
BANGLADESH - CHITTAGONG,S-Shorts,2016,8,13,2016-08-13,08/13/2016,2016,8,13,2016-09-12,09/12/2016,7.36,BANGLADESH - CHITTAGONG,2016-08-13,8,2016-09-12,S-Shorts,-43,-73,2016-07-01,2016-07-01,34,4,2016-09-16,2016-09-16,-75,-14,2016-05-30,2016-08-29,16,104,2016-08-29,2016-12-25,2016-08-13,BANGLADESH - CHITTAGONG,S-Shorts,2016-05-25,16.08,80,30
BANGLADESH - CHITTAGONG,S-Shorts,2016,12,24,2016-12-24,12/24/2016,2017,12,24,2017-01-19,01/19/2017,41.58,BANGLADESH - CHITTAGONG,2016-12-24,12,2017-01-19,S-Shorts,-75,-101,2016-10-10,2016-10-10,1,9,2016-12-25,2017-01-28,-117,-17,2016-08-29,2017-01-02,1,85,2016-12-25,2017-04-14,2016-12-24,BANGLADESH - CHITTAGONG,S-Shorts,2016-08-13,7.36,133,26
BANGLADESH - CHITTAGONG,S-Shorts,2016,12,27,2016-12-27,12/27/2016,2017,12,27,2017-01-23,01/23/2017,95.86,BANGLADESH - CHITTAGONG,2016-12-27,12,2017-01-23,S-Shorts,0,-27,2016-12-27,2016-12-27,5,5,2017-01-01,2017-01-28,0,-21,2016-12-27,2017-01-02,5,81,2017-01-01,2017-04-14,2016-12-27,BANGLADESH - CHITTAGONG,S-Shorts,2016-12-24,41.58,3,27
CAMBODIA - SIHANOUKVILLE,A-Accessories,2016,5,8,2016-05-08,05/08/2016,2016,5,8,2016-06-01,06/01/2016,120.83617,CAMBODIA - SIHANOUKVILLE,2016-05-08,5,2016-06-01,A-Accessories,-6,-30,2016-05-02,2016-05-02,6,8,2016-05-14,2016-06-09,-6,-2,2016-05-02,2016-05-30,22,89,2016-05-30,2016-08-29,,,,,,,24
CAMBODIA - SIHANOUKVILLE,A-Accessories,2016,7,3,2016-07-03,07/03/2016,2016,7,3,2016-08-03,08/03/2016,79.3,CAMBODIA - SIHANOUKVILLE,2016-07-03,7,2016-08-03,A-Accessories,-2,-33,2016-07-01,2016-07-01,75,44,2016-09-16,2016-09-16,-34,-65,2016-05-30,2016-05-30,57,26,2016-08-29,2016-08-29,2016-07-03,CAMBODIA - SIHANOUKVILLE,A-Accessories,2016-05-08,120.83617,56,31
CAMBODIA - SIHANOUKVILLE,B-Jeans,2016,6,19,2016-06-19,06/19/2016,2016,6,19,2016-07-26,07/26/2016,78.65,CAMBODIA - SIHANOUKVILLE,2016-06-19,6,2016-07-26,B-Jeans,-10,-47,2016-06-09,2016-06-09,12,52,2016-07-01,2016-09-16,-20,-57,2016-05-30,2016-05-30,71,34,2016-08-29,2016-08-29,,,,,,,37
CAMBODIA - SIHANOUKVILLE,B-Jeans,2016,7,10,2016-07-10,07/10/2016,2016,7,10,2016-08-03,08/03/2016,67.06,CAMBODIA - SIHANOUKVILLE,2016-07-10,7,2016-08-03,B-Jeans,-9,-33,2016-07-01,2016-07-01,68,44,2016-09-16,2016-09-16,-41,-65,2016-05-30,2016-05-30,50,26,2016-08-29,2016-08-29,2016-07-10,CAMBODIA - SIHANOUKVILLE,B-Jeans,2016-06-19,78.65,21,24
CAMBODIA - SIHANOUKVILLE,B-Jeans,2016,9,4,2016-09-04,09/04/2016,2016,9,4,2016-09-28,09/28/2016,65.25,CAMBODIA - SIHANOUKVILLE,2016-09-04,9,2016-09-28,B-Jeans,-65,-89,2016-07-01,2016-07-01,12,3,2016-09-16,2016-10-01,-6,-30,2016-08-29,2016-08-29,112,88,2016-12-25,2016-12-25,2016-09-04,CAMBODIA - SIHANOUKVILLE,B-Jeans,2016-07-10,67.06,56,24
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,1,8,2017-01-08,01/08/2017,2017,1,8,2017-02-15,02/15/2017,15.63,CAMBODIA - SIHANOUKVILLE,2017-01-08,1,2017-02-15,C-Trousers,-6,-44,2017-01-02,2017-01-02,20,48,2017-01-28,2017-04-04,-6,-44,2017-01-02,2017-01-02,96,58,2017-04-14,2017-04-14,2017-01-08,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-08-14,6.33,147,38
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,2,19,2017-02-19,02/19/2017,2017,2,19,2017-03-14,03/14/2017,3.75375,CAMBODIA - SIHANOUKVILLE,2017-02-19,2,2017-03-14,C-Trousers,-19,-42,2017-01-31,2017-01-31,44,21,2017-04-04,2017-04-04,-48,-71,2017-01-02,2017-01-02,54,31,2017-04-14,2017-04-14,2017-02-19,CAMBODIA - SIHANOUKVILLE,C-Trousers,2017-01-08,15.63,42,23
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,2,26,2017-02-26,02/26/2017,2017,2,26,2017-03-28,03/28/2017,8.518125,CAMBODIA - SIHANOUKVILLE,2017-02-26,2,2017-03-28,C-Trousers,-26,-56,2017-01-31,2017-01-31,37,7,2017-04-04,2017-04-04,-55,-85,2017-01-02,2017-01-02,47,17,2017-04-14,2017-04-14,2017-02-26,CAMBODIA - SIHANOUKVILLE,C-Trousers,2017-02-19,3.75375,7,30
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,3,13,2016-03-13,03/13/2016,2016,3,13,2016-04-08,04/08/2016,18.63,CAMBODIA - SIHANOUKVILLE,2016-03-13,3,2016-04-08,C-Trousers,-32,-58,2016-02-10,2016-02-10,12,23,2016-03-25,2016-05-01,-72,-11,2016-01-01,2016-03-28,12,24,2016-03-25,2016-05-02,,,,,,,26
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,4,3,2016-04-03,04/03/2016,2016,4,3,2016-05-02,05/02/2016,6.81,CAMBODIA - SIHANOUKVILLE,2016-04-03,4,2016-05-02,C-Trousers,-6,-35,2016-03-28,2016-03-28,1,12,2016-04-04,2016-05-14,-6,0,2016-03-28,2016-05-02,29,28,2016-05-02,2016-05-30,2016-04-03,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-03-13,18.63,21,29
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,3,2016-07-03,07/03/2016,2016,7,3,2016-07-27,07/27/2016,23.77,CAMBODIA - SIHANOUKVILLE,2016-07-03,7,2016-07-27,C-Trousers,-2,-26,2016-07-01,2016-07-01,75,51,2016-09-16,2016-09-16,-34,-58,2016-05-30,2016-05-30,57,33,2016-08-29,2016-08-29,2016-07-03,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-04-03,6.81,91,24
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,10,2016-07-10,07/10/2016,2016,7,10,2016-08-11,08/11/2016,0.95,CAMBODIA - SIHANOUKVILLE,2016-07-10,7,2016-08-11,C-Trousers,-9,-41,2016-07-01,2016-07-01,68,36,2016-09-16,2016-09-16,-41,-73,2016-05-30,2016-05-30,50,18,2016-08-29,2016-08-29,2016-07-10,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-07-03,23.77,7,32
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,24,2016-07-24,07/24/2016,2016,7,24,2016-08-20,08/20/2016,71.136,CAMBODIA - SIHANOUKVILLE,2016-07-24,7,2016-08-20,C-Trousers,-23,-50,2016-07-01,2016-07-01,54,27,2016-09-16,2016-09-16,-55,-82,2016-05-30,2016-05-30,36,9,2016-08-29,2016-08-29,2016-07-24,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-07-10,0.95,14,27
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,31,2016-07-31,07/31/2016,2016,7,31,2016-08-27,08/27/2016,18.432,CAMBODIA - SIHANOUKVILLE,2016-07-31,7,2016-08-27,C-Trousers,-30,-57,2016-07-01,2016-07-01,47,20,2016-09-16,2016-09-16,-62,-89,2016-05-30,2016-05-30,29,2,2016-08-29,2016-08-29,2016-07-31,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-07-24,71.136,7,27
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,8,14,2016-08-14,08/14/2016,2016,8,14,2016-09-15,09/15/2016,6.33,CAMBODIA - SIHANOUKVILLE,2016-08-14,8,2016-09-15,C-Trousers,-44,-76,2016-07-01,2016-07-01,33,1,2016-09-16,2016-09-16,-76,-17,2016-05-30,2016-08-29,15,101,2016-08-29,2016-12-25,2016-08-14,CAMBODIA - SIHANOUKVILLE,C-Trousers,2016-07-31,18.432,14,32
CAMBODIA - SIHANOUKVILLE,D-Jackets,2017,2,19,2017-02-19,02/19/2017,2017,2,19,2017-03-31,03/31/2017,23.3856,CAMBODIA - SIHANOUKVILLE,2017-02-19,2,2017-03-31,D-Jackets,-19,-59,2017-01-31,2017-01-31,44,4,2017-04-04,2017-04-04,-48,-88,2017-01-02,2017-01-02,54,14,2017-04-14,2017-04-14,,,,,,,40
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,5,15,2016-05-15,05/15/2016,2016,5,15,2016-06-10,06/10/2016,34.42,CAMBODIA - SIHANOUKVILLE,2016-05-15,5,2016-06-10,F-Sweatshirts,-1,-27,2016-05-14,2016-05-14,25,21,2016-06-09,2016-07-01,-13,-11,2016-05-02,2016-05-30,15,80,2016-05-30,2016-08-29,,,,,,,26
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,6,26,2016-06-26,06/26/2016,2016,6,26,2016-07-20,07/20/2016,47.93726,CAMBODIA - SIHANOUKVILLE,2016-06-26,6,2016-07-20,F-Sweatshirts,-17,-41,2016-06-09,2016-06-09,5,58,2016-07-01,2016-09-16,-27,-51,2016-05-30,2016-05-30,64,40,2016-08-29,2016-08-29,2016-06-26,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-05-15,34.42,42,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,3,2016-07-03,07/03/2016,2016,7,3,2016-07-27,07/27/2016,25.64,CAMBODIA - SIHANOUKVILLE,2016-07-03,7,2016-07-27,F-Sweatshirts,-2,-26,2016-07-01,2016-07-01,75,51,2016-09-16,2016-09-16,-34,-58,2016-05-30,2016-05-30,57,33,2016-08-29,2016-08-29,2016-07-03,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-06-26,47.93726,7,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,10,2016-07-10,07/10/2016,2016,7,10,2016-08-11,08/11/2016,7.09,CAMBODIA - SIHANOUKVILLE,2016-07-10,7,2016-08-11,F-Sweatshirts,-9,-41,2016-07-01,2016-07-01,68,36,2016-09-16,2016-09-16,-41,-73,2016-05-30,2016-05-30,50,18,2016-08-29,2016-08-29,2016-07-10,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-07-03,25.64,7,32
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,17,2016-07-17,07/17/2016,2016,7,17,2016-08-13,08/13/2016,36.67,CAMBODIA - SIHANOUKVILLE,2016-07-17,7,2016-08-13,F-Sweatshirts,-16,-43,2016-07-01,2016-07-01,61,34,2016-09-16,2016-09-16,-48,-75,2016-05-30,2016-05-30,43,16,2016-08-29,2016-08-29,2016-07-17,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-07-10,7.09,7,27
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,31,2016-07-31,07/31/2016,2016,7,31,2016-08-27,08/27/2016,47.04,CAMBODIA - SIHANOUKVILLE,2016-07-31,7,2016-08-27,F-Sweatshirts,-30,-57,2016-07-01,2016-07-01,47,20,2016-09-16,2016-09-16,-62,-89,2016-05-30,2016-05-30,29,2,2016-08-29,2016-08-29,2016-07-31,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-07-17,36.67,14,27
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,8,28,2016-08-28,08/28/2016,2016,8,28,2016-09-21,09/21/2016,114.927246,CAMBODIA - SIHANOUKVILLE,2016-08-28,8,2016-09-21,F-Sweatshirts,-58,-82,2016-07-01,2016-07-01,19,10,2016-09-16,2016-10-01,-90,-23,2016-05-30,2016-08-29,1,95,2016-08-29,2016-12-25,2016-08-28,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-07-31,47.04,28,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,9,11,2016-09-11,09/11/2016,2016,9,11,2016-10-05,10/05/2016,43.68,CAMBODIA - SIHANOUKVILLE,2016-09-11,9,2016-10-05,F-Sweatshirts,-72,-96,2016-07-01,2016-07-01,5,4,2016-09-16,2016-10-09,-13,-37,2016-08-29,2016-08-29,105,81,2016-12-25,2016-12-25,2016-09-11,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-08-28,114.927246,14,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,9,18,2016-09-18,09/18/2016,2016,9,18,2016-10-12,10/12/2016,31.31,CAMBODIA - SIHANOUKVILLE,2016-09-18,9,2016-10-12,F-Sweatshirts,-2,-26,2016-09-16,2016-09-16,13,74,2016-10-01,2016-12-25,-20,-44,2016-08-29,2016-08-29,98,74,2016-12-25,2016-12-25,2016-09-18,CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016-09-11,43.68,7,24
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,1,2017-01-01,01/01/2017,2017,1,1,2017-02-04,02/04/2017,1.77,CAMBODIA - SIHANOUKVILLE,2017-01-01,1,2017-02-04,K-Shirts,0,-34,2017-01-01,2017-01-01,1,59,2017-01-02,2017-04-04,0,-33,2017-01-01,2017-01-02,1,69,2017-01-02,2017-04-14,2017-01-01,CAMBODIA - SIHANOUKVILLE,K-Shirts,2016-12-18,12.45,14,34
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,15,2017-01-15,01/15/2017,2017,1,15,2017-02-17,02/17/2017,1.93,CAMBODIA - SIHANOUKVILLE,2017-01-15,1,2017-02-17,K-Shirts,-13,-46,2017-01-02,2017-01-02,13,46,2017-01-28,2017-04-04,-13,-46,2017-01-02,2017-01-02,89,56,2017-04-14,2017-04-14,2017-01-15,CAMBODIA - SIHANOUKVILLE,K-Shirts,2017-01-01,1.77,14,33
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,22,2017-01-22,01/22/2017,2017,1,22,2017-03-09,03/09/2017,51.58,CAMBODIA - SIHANOUKVILLE,2017-01-22,1,2017-03-09,K-Shirts,-20,-66,2017-01-02,2017-01-02,6,26,2017-01-28,2017-04-04,-20,-66,2017-01-02,2017-01-02,82,36,2017-04-14,2017-04-14,2017-01-22,CAMBODIA - SIHANOUKVILLE,K-Shirts,2017-01-15,1.93,7,46
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,22,2017-01-22,01/22/2017,2017,1,22,2017-02-25,02/25/2017,35.68,CAMBODIA - SIHANOUKVILLE,2017-01-22,1,2017-03-09,K-Shirts,-20,-66,2017-01-02,2017-01-02,6,26,2017-01-28,2017-04-04,-20,-66,2017-01-02,2017-01-02,82,36,2017-04-14,2017-04-14,2017-01-22,CAMBODIA - SIHANOUKVILLE,K-Shirts,2017-01-15,1.93,7,34
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,2,12,2017-02-12,02/12/2017,2017,2,12,2017-03-10,03/10/2017,17,CAMBODIA - SIHANOUKVILLE,2017-02-12,2,2017-03-10,K-Shirts,-12,-38,2017-01-31,2017-01-31,51,25,2017-04-04,2017-04-04,-41,-67,2017-01-02,2017-01-02,61,35,2017-04-14,2017-04-14,2017-02-12,CAMBODIA - SIHANOUKVILLE,K-Shirts,2017-01-22,35.68,21,26
